calidad_imagen,marca,modelo,peso,precio_dominioVirtual,pulgadas,sistema_operativo
,Asus,F409FA-EK247T," 1,6 kg","471,23 €",,
 Full HD,HP,2D308EA," 1,78 kg","466,39 €"," 39,6 cm (15.6"")", Windows 10 Pro
 HD,Dell,1DT1P," 1,9 kg","466,39 €"," 39,6 cm (15.6"")", Windows 10 Pro
 HD,Lenovo,82C500QXSP," 1,78 kg","506,32 €"," 39,6 cm (15.6"")", Windows 10 Home
 HD,Lenovo,82C70098SP," 1,85 kg","363,54 €"," 39,6 cm (15.6"")", No
 HD,HP,7ZH82EA," 1,69 kg","538,99 €"," 39,6 cm (15.6"")", Windows 10 Home
 HD,HP,4EY56UP," 1,73 kg","749,53 €"," 35,6 cm (14"")", Windows 10 Pro
 HD,HP,1E6V8EA#ABE," 1,69 kg","505,11 €"," 39,6 cm (15.6"")", Windows 10 Home S
,Lenovo,81W100KHSP, 1.85 kg,"333,29 €"," 15.6""",
 Full HD,Asus,90NB0QUC-M14750," 1,8 kg","461,55 €"," 39,6 cm (15.6"")", No
 No indicado,Lenovo,20FMS1MW00," 1,73 kg","454,29 €"," 35,6 cm (14"")", Windows 10 Pro
 HD,Lenovo,82C500RFSP," 1,78 kg","454,29 €"," 39,6 cm (15.6"")", FreeDOS (No incluido)
 HD,HP,2V0C4ES#ABE_512," 1,78 kg","448,24 €"," 39,6 cm (15.6"")", FreeDOS
,HP,2D319EA#ABE,,"430,09 €",,
 Full HD,HP,14Z96EA," 1,78 kg","599,49 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,9YT32EA," 1,46 kg","563,19 €"," 35,6 cm (14"")", Windows 10 Home
 Full HD,HP,7DC56EA," 1,78 kg","484,54 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,197P4EA," 1,78 kg","393,79 €"," 39,6 cm (15.6"")", FreeDOS
,HP,6LL57EA#ABE," 1,74 kg","381,69 €",,
 No indicado,Dell,7250-7450_8Gb, No indicado,"375,64 €"," 31,8 cm (12.5"")", Windows 10 Pro
 HD,HP,H9V81EA," 1,34 kg","369,59 €"," 31,8 cm (12.5"")", Windows 7 Professional
 Full HD,Asus,90NR00J1-M25000," 2,3 kg","623,69 €"," 39,6 cm (15.6"")", No
,Lenovo,82C7008TSP,,"357,49 €",,
 HD,HP,1E1W7EA#ABE," 1,46 kg","480,91 €"," 35,6 cm (14"")", Windows 10 Home S
 HD,HP,F6N29AV," 1,34 kg","362,33 €"," 31,8 cm (12.5"")", Windows 10 Professional
 Full HD,HP,8MJ07EA," 1,78 kg","321,19 €"," 39,6 cm (15.6"")", FreeDOS
 Full HD,HP,F6N30AV," 1,34 kg","362,33 €"," 31,8 cm (12.5"")", Windows 10 Professional
 Full HD,HP,258N2EA," 1,58 kg","339,34 €"," 35,6 cm (14"")", Chrome OS
 HD+,HP,9ET41EA," 1,35 kg","315,14 €"," 30,5 cm (12"")", Chrome OS
 HD+,HP,258N0EA," 1,35 kg","303,04 €"," 30,5 cm (12"")", Chrome OS
,Asus,E210MA-GJ003R," 1,2 kg","284,89 €",,
 Full HD,HP,6XD54EA," 1,48 kg","847,54 €"," 35,6 cm (14"")", Windows 10 Pro
 HD,HP,234K5EA," 1,05 kg","272,79 €"," 29,5 cm (11.6"")", Windows 10 Home S
 HD,HP,13G48EA," 1,69 kg","484,54 €"," 39,6 cm (15.6"")", FreeDOS
 HD,Dell,E7270_042021," 1,25 kg","418,64 €"," 31,8 cm (12.5"")", Windows 10 Pro
 Full HD,Asus,F509JB-EJ003T_L," 1,9 kg","532,94 €"," 39,6 cm (15.6"")", Windows 10
 Full HD,HP,4WU43EA," 1,72 kg","514,79 €"," 35,6 cm (14"")", Windows 10 Pro
 Full HD,Lenovo,82C400U2SP," 1,85 kg","581,34 €"," (14"")", Windows 10 Home
 Full HD,HP,1F3M7EA, 2 kg,"666,04 €"," 39,6 cm (15.6"")",
 Full HD,HP,175V2EA, 2 kg,"696,29 €"," 39,6 cm (15.6"")", Windows 10 Pro
