calidad_imagen,marca,modelo,peso,precio,pulgadas,sistema_operativo
 Full HD,HP,1F9G5EA#ABE," 1,69 kg","454,29 €"," 39,6 cm (15.6"")"," Windows 10 Home S. Windows 10 en modo S es una versión de Windows 10 optimizada para seguridad y rendimiento que ofrece una experiencia familiar de Windows. Para aumentar la seguridad, solo admite aplicaciones de Microsoft Store y requiere Microsoft Edge para realizar una exploración segura."
 HD,HP,7DC14EA," 1,78 kg","448,24 €"," 39,6 cm (15.6"")", Windows 10 Home
 HD,HP,2D318EA," 1,78 kg","436,14 €"," 39,6 cm (15.6"")", Windows 10 Home
,HP,2D319EA#ABE,"A partir de 1,78 kg","430,09 €",,
 HD,HP,H9V81EA," 1,34 kg","393,79 €"," 31,8 cm (12.5"")", Windows 7 Professional
 Full HD,HP,197P4EA," 1,78 kg","393,79 €"," 39,6 cm (15.6"")", FreeDOS
 No indicado,Dell,7250-7450_8Gb, No indicado,"375,64 €"," 31,8 cm (12.5"")", Windows 10 Pro
 WUXGA,Lenovo,81H300D6SP-G21," 1,14 kg","362,33 €"," 25,6 cm (10.1"")", Windows 10 Home
 HD,HP,F6N29AV," 1,34 kg","362,33 €"," 31,8 cm (12.5"")", Windows 10 Professional
 Full HD,HP,F6N30AV," 1,34 kg","362,33 €"," 31,8 cm (12.5"")", Windows 10 Professional
 Full HD,HP,258N2EA," 1,58 kg","339,34 €"," 35,6 cm (14"")", Chrome OS
 HD+,HP,9ET41EA," 1,35 kg","315,14 €"," 30,5 cm (12"")", Chrome OS
 HD+,HP,258N0EA," 1,35 kg","303,04 €"," 30,5 cm (12"")", Chrome OS
 HD,Dell,E7270_042021," 1,25 kg","418,64 €"," 31,8 cm (12.5"")", Windows 10 Pro
 Full HD,Asus,F509JB-EJ003T_L," 1,9 kg","532,94 €"," 39,6 cm (15.6"")", Windows 10
,Asus,E210MA-GJ003R," 1,2 kg","284,89 €",,
 HD,HP,234K5EA," 1,05 kg","272,79 €"," 29,5 cm (11.6"")", Windows 10 Home S
 Full HD,HP,175V2EA, 2 kg,"696,29 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,HP,1F3M7EA, 2 kg,"666,04 €"," 39,6 cm (15.6"")",
