modelo,marca,pulgadas,calidad_imagen,sistema operativo,precio_mediamarkt,peso,precio_dominioVirtual
Nitro QG221QBII,ACER,21.0,Full-HD,NA,109.0,NA,NA
"273V7QDSB/00,PHILIPS,27,Full-HD,NA,""3,96"",158",NA,NA,NA,NA,NA,NA,NA
KA242Y,ACER,23.0,Full-HD,NA,119.0,NA,NA
LG 34WN650,LG ELECTRONICS,34.0,WQHD,NA,349.0,NA,NA
HP OMEN 25,HP,25.0,Full-HD,NA,218.0,NA,NA
"HP 24f,HP,23,Full-HD,NA,""2,84"",126",NA,NA,NA,NA,NA,NA,NA
VG248QE,ASUS,24.0,HD,NA,209.0,NA,NA
GW2780,BENQ,27.0,Full-HD,NA,179.0,NA,NA
MSI Optix G271,MSI,27.0,Full-HD,NA,269.0,NA,NA
VG279Q,ASUS,27.0,Full-HD,NA,278.0,NA,NA
BenQ GL2480,BENQ,24.0,Full-HD,NA,129.0,NA,NA
GL2780,BENQ,27.0,Full-HD,NA,179.0,NA,NA
VG289Q,ASUS,28.0,UHD 4K,NA,399.0,NA,NA
LG UltraWide 49WL95C-WE,LG ELECTRONICS,49.0,2K UltraWide QHD,NA,1279.0,NA,NA
"HP 25x,HP,24,Full-HD,NA,""5,72"",229",NA,NA,NA,NA,NA,NA,NA
Smart Monitor M5,SAMSUNG,32.0,Full-HD,NA,289.0,NA,NA
R240Y,ACER,23.0,Full-HD,NA,129.0,NA,NA
LG 32UN500-W,LG ELECTRONICS,31.0,UHD 4K,NA,399.0,NA,NA
Nitro QG271bii,ACER,27.0,Full-HD,NA,179.0,NA,NA
BE24EQK,ASUS,23.0,Full-HD,NA,191.0,NA,NA
BenQ EW2780Q,BENQ,27.0,QHD,NA,296.0,NA,NA
GW2480T,BENQ,23.0,Full-HD,NA,169.0,NA,NA
AOC Q3279VWF,AOC,32.0,WQHD,NA,199.0,NA,NA
VG279QM 4K/ IPS/ FREESYNC/ HDR 10,ASUS,27.0,UHD 4K,NA,429.0,NA,NA
Q27Q-10,LENOVO,27.0,HD,NA,269.0,NA,NA
BenQ EW2480,BENQ,23.0,Full-HD,NA,149.0,NA,NA
VG258QR,ASUS,24.0,Full-HD,NA,269.0,NA,NA
"VG24VQ,ASUS,23,Full-HD,NA,""5,48"",255",NA,NA,NA,NA,NA,NA,NA
BenQ BL2420PT,BENQ,24.0,WQHD,NA,219.0,NA,NA
LG 27MP59G,LG ELECTRONICS,27.0,HD,NA,179.0,NA,NA
LG 27QN600-B,LG ELECTRONICS,27.0,QHD,NA,319.0,NA,NA
"TUF Gaming VG27AQ,ASUS,27,WQHD,NA,""3,5"",572",NA,NA,NA,NA,NA,NA,NA
"ASUS VG248QG,ASUS,24,Full-HD,NA,""5,2"",205",NA,NA,NA,NA,NA,NA,NA
G24-10,LENOVO,23.0,Full-HD,NA,199.0,NA,NA
C27-35,LENOVO,27.0,Full-HD,NA,149.0,NA,NA
BenQ PD2500Q,BENQ,25.0,WQHD,NA,295.0,NA,NA
223V5LHSB2/00,PHILIPS,22.0,HD,NA,93.0,NA,NA
BenQ Zowie XL2546K,BENQ,24.0,Full-HD,NA,699.0,NA,NA
LG 24MP59G,LG ELECTRONICS,24.0,HD,NA,109.0,NA,NA
BenQ EW2780U,BENQ,27.0,UHD 4K,NA,449.0,NA,NA
LG 27QN880-B,LG ELECTRONICS,27.0,WQHD,NA,479.0,NA,NA
ASUS VG278Q,ASUS,27.0,Full-HD,NA,269.0,NA,NA
BenQ EW2780,BENQ,27.0,Full-HD,NA,199.0,NA,NA
PD2700Q,BENQ,27.0,WQHD,NA,319.0,NA,NA
MSI OPTIX MPG341CQR,MSI,34.0,UWQHD,NA,749.0,NA,NA
SA240YAbi,ACER,23.0,Full-HD,NA,122.0,NA,NA
G25-10 62,LENOVO,24.0,Full-HD,NA,239.0,NA,NA
Nitro VG280Kbmiipx,ACER,28.0,UHD 4K,NA,276.0,NA,NA
"ASUS VG278QR,ASUS,27,Full-HD,NA,""3,2"",249",NA,NA,NA,NA,NA,NA,NA
"LG 27GL850-B LED 27"",LG ELECTRONICS,27,QHD,NA,,459",NA,NA,NA,NA,NA,NA,NA
EL2870U,BENQ,27.0,UHD 4K,NA,279.0,NA,NA
Nitro XV272UP,ACER,27.0,WQHD,NA,399.0,NA,NA
AOC AG352QCX,AOC,35.0,HD,NA,699.0,NA,NA
Predator XB271HU,ACER,27.0,WQHD,NA,599.0,NA,NA
LF27T350FHUXEN,SAMSUNG,27.0,Full-HD,NA,149.0,NA,NA
BenQ BL2480T,BENQ,23.0,Full-HD,NA,174.0,NA,NA
BL2480,BENQ,23.0,Full-HD,NA,139.0,NA,NA
BenQ BL2483,BENQ,24.0,Full-HD,NA,149.0,NA,NA
LG 27MK400H,LG ELECTRONICS,27.0,HD,NA,169.0,NA,NA
VP229HAL,ASUS,21.0,Full-HD,NA,162.0,NA,NA
XL2731,BENQ,27.0,Full-HD,NA,329.0,NA,NA
Y27g Curved Gaming Monitor,LENOVO,27.0,HD,NA,336.0,NA,NA
MSI Optix MAG161V,MSI,15.0,Full-HD,NA,179.0,NA,NA
BenQ BL2483T,BENQ,24.0,Full-HD,NA,162.0,NA,NA
BenQ EX3501R,BENQ,35.0,QHD,NA,699.0,NA,NA
Solución de montaje en pared Digital Signage con liberación rápida y placa de seguridad,NA,NA,NA,NA,NA,12.5,48.4
VS247HR,NA,NA,NA,NA,NA,NA,113.38
V7 V227Qbip,NA,NA,NA,NA,NA,2.82,113.3
V Line Monitor LCD Full HD 223V7QDSB/00,NA,NA,NA,NA,NA,NA,112.0
VP229HE,NA,NA,NA,NA,NA,NA,108.04
S24A310NHU,NA,NA,NA,NA,NA,NA,106.46
V6 V246HQL,NA,NA,NA,NA,NA,NA,106.46
V Line Monitor LCD con SmartControl Lite 223V5LSB2/10,NA,NA,NA,NA,NA,2.35,105.05
22MK400H-B,NA,NA,NA,NA,NA,3.08,104.73
Hanns.G HL 225 HPB,NA,NA,NA,NA,NA,3.4,101.56
V20 HD+,NA,NA,NA,NA,NA,NA,80.21
V6 V206HQLAb,NA,NA,NA,NA,NA,2.5,79.0
V6 196HQLAb,NA,NA,NA,NA,NA,2.32,74.39
Pro-line VESA-P1,NA,NA,NA,NA,NA,NA,12.16
OMEN 27,NA,NA,NA,NA,NA,6.48,448.24
OMEN 27i,NA,NA,NA,NA,NA,NA,423.5
VP247HAE,NA,NA,NA,NA,NA,3.35,121.54
Pro-line I2490PXQU/BT,NA,NA,NA,NA,NA,NA,192.22
UltraSharp U2520D,NA,NA,NA,NA,NA,NA,374.14
ThinkVision T27p-10,NA,NA,NA,NA,NA,5.0,536.6
27UL550,NA,NA,NA,NA,NA,NA,318.98
VZ279HEG1R,NA,NA,NA,NA,NA,NA,189.85
ThinkVision T22i-20,NA,NA,NA,NA,NA,NA,158.36
Basic-line 27B2H/EU,NA,NA,NA,NA,NA,NA,140.29
KA KA270HAbid,NA,NA,NA,NA,NA,3.74,134.48
P2419H,NA,NA,NA,NA,NA,3.26,175.72
P2319H,NA,NA,NA,NA,NA,3.11,168.02
34WL500-B,NA,NA,NA,NA,NA,5.9,321.93
27MK430H-B,NA,NA,NA,NA,NA,4.2,163.63
35WN65C-B,NA,NA,NA,NA,NA,6.6,482.87
24BK550Y-W,NA,NA,NA,NA,NA,3.6,152.77
HT 248 PPB,NA,NA,NA,NA,NA,4.5,282.69
HS 278 PPB,NA,NA,NA,NA,NA,4.0,149.48
24TL510V-WZ,NA,NA,NA,NA,NA,3.25,160.52
VX Series VX3211-MH,NA,NA,NA,NA,NA,6.16,222.76
P-Series P21b G4,NA,NA,NA,NA,NA,NA,122.45
V24 FHD,NA,NA,NA,NA,NA,NA,122.52
Basic-line 24B2XHM2,NA,NA,NA,NA,NA,NA,128.36
Basic-line 24B2XDAM,NA,NA,NA,NA,NA,NA,137.17
Optix G32C4,NA,NA,NA,NA,NA,NA,313.86
SE2219H,NA,NA,NA,NA,NA,2.67,121.36
VZ239HE,NA,NA,NA,NA,NA,NA,121.21
Hanns.G HP 225 PJB,NA,NA,NA,NA,NA,4.1,121.21
M2060PWDA2,NA,NA,NA,NA,NA,NA,120.89
V247Ybip,NA,NA,NA,NA,NA,4.4,120.65
V Line Monitor LCD Full HD 223V7QHAB/00,NA,NA,NA,NA,NA,2.56,120.47
Basic-line 24B2XH/EU,NA,NA,NA,NA,NA,NA,116.01
VA249HE,NA,NA,NA,NA,NA,3.7,114.45
VP228DE,NA,NA,NA,NA,NA,3.5,113.78
OMEN X 25,NA,NA,NA,NA,NA,6.26,387.2
Z24xG2 DreamColor,NA,NA,NA,NA,NA,NA,363.54
E27u G4,NA,NA,NA,NA,NA,NA,332.75
X27i 2K Gaming,NA,NA,NA,NA,NA,7.35,290.4
LD4200 Digital Signage 42,NA,NA,NA,NA,NA,NA,242.0
27mx,NA,NA,NA,NA,NA,NA,217.8
E-Series E27 G4,NA,NA,NA,NA,NA,NA,217.8
E-Series E24i G4,NA,NA,NA,NA,NA,NA,216.59
E223d Docking,NA,NA,NA,NA,NA,5.08,199.65
NA,NA,NA,NA,NA,NA,3.29,175.45
25mx,NA,NA,NA,NA,NA,5.72,169.4
27G2U5/BK Full HD IPS,NA,NA,NA,NA,NA,NA,157.3
32s,NA,NA,NA,NA,NA,7.72,156.09
24fw,NA,NA,NA,NA,NA,NA,139.15
22x,NA,NA,NA,NA,NA,NA,135.52
27m,NA,NA,NA,NA,NA,NA,133.1
 Ligeras Marcas en la parte Trasera,NA,NA,NA,NA,NA,NA,121.0
24f,NA,NA,NA,NA,NA,NA,121.0
22y,NA,NA,NA,NA,NA,NA,90.75
V197 47 cm (18,NA,NA,NA,NA,NA,2.6,83.49
27fw,NA,NA,NA,NA,NA,3.68,157.3
